id,title,description,difficulty_level,examples,constraints,test_cases
91,Allocate Minimum Number of Pages,"Given an array of integers `nums` representing the number of pages in `n` books, and an integer `m` representing the number of students, the task is to allocate books to `m` students such that:

1. Each student gets at least one book.
2. Each book is allocated to exactly one student.
3. Books are allocated in a contiguous manner.

The goal is to minimize the maximum number of pages allocated to a student. Return the minimum possible value of the maximum number of pages allocated to a student. If a valid allocation is not possible, return -1.",Hard,"[{""input"": {""m"": 2, ""nums"": [10, 20, 30, 40]}, ""output"": 60}, {""input"": {""m"": 2, ""nums"": [12, 34, 67, 90]}, ""output"": 113}]","[""1 \u2264 m \u2264 n"", ""1 \u2264 nums[i] \u2264 10^6"", ""1 \u2264 n \u2264 10^5""]","[{""input"": {""m"": 2, ""nums"": [10, 20, 30, 40]}, ""expected_output"": 60}, {""input"": {""m"": 2, ""nums"": [12, 34, 67, 90]}, ""expected_output"": 113}, {""input"": {""m"": 4, ""nums"": [15, 17, 20, 8, 5, 12, 25]}, ""expected_output"": 37}, {""input"": {""m"": 3, ""nums"": [5, 10, 30, 20, 15]}, ""expected_output"": 45}, {""input"": {""m"": 4, ""nums"": [10, 10, 10, 10]}, ""expected_output"": 10}]"
92,Maximum Subarray XOR,"Given an array of non-negative integers, find the maximum XOR value of a contiguous subarray.",Hard,"[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""output"": 7}, {""input"": {""nums"": [8, 1, 2, 12]}, ""output"": 15}]","[""0 <= nums[i] <= 2^20"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 7}, {""input"": {""nums"": [8, 1, 2, 12]}, ""expected_output"": 15}, {""input"": {""nums"": [4, 6, 7]}, ""expected_output"": 7}, {""input"": {""nums"": [1, 5, 6, 7, 2]}, ""expected_output"": 7}, {""input"": {""nums"": [0]}, ""expected_output"": 0}]"
93,Check if Two Nodes are Cousins,"Given a binary tree, a node x, and a node y, determine if x and y are cousins. Two nodes are cousins if they have the same depth but different parents. Return 1 if they are cousins, and 0 otherwise.",Medium,"[{""input"": {""x"": 4, ""y"": 5, ""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": null}}}, ""output"": 1}, {""input"": {""x"": 4, ""y"": 5, ""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": {""val"": 4, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""output"": 0}]","[""x and y are exist in the tree"", ""All node values are distinct."", ""1 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [2, 100].""]","[{""input"": {""x"": 4, ""y"": 5, ""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""x"": 4, ""y"": 5, ""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": {""val"": 4, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}, {""input"": {""x"": 2, ""y"": 3, ""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""x"": 4, ""y"": 3, ""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""x"": 2, ""y"": 4, ""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 4, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}]"
94,Maximum Subarray Sum After Circular Shift,"Given an array of integers `nums`, you can perform a circular shift operation any number of times. A circular shift moves the last element to the front of the array. The goal is to find the maximum possible sum of a contiguous subarray after performing any number of circular shifts on the array. Return the maximum possible subarray sum.",Hard,"[{""input"": {""nums"": [1, -2, 3, -2]}, ""output"": 3}, {""input"": {""nums"": [5, -3, 5]}, ""output"": 10}]","[""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, -2, 3, -2]}, ""expected_output"": 3}, {""input"": {""nums"": [5, -3, 5]}, ""expected_output"": 10}, {""input"": {""nums"": [-2, -3, -1]}, ""expected_output"": -1}, {""input"": {""nums"": [4, -1, 5, -2, 6, -3]}, ""expected_output"": 15}, {""input"": {""nums"": [-5, 4, -2, 3, 1, -5]}, ""expected_output"": 6}]"
95,Palindrome Substring Count,"Given a string s, return the number of palindromic substrings in it. A substring is a contiguous sequence of characters within the string.",Medium,"[{""input"": {""s"": ""abc""}, ""output"": 3}, {""input"": {""s"": ""aaa""}, ""output"": 6}]","[""s consists of lowercase English letters."", ""1 <= s.length <= 1000""]","[{""input"": {""s"": ""abc""}, ""expected_output"": 3}, {""input"": {""s"": ""aaa""}, ""expected_output"": 6}, {""input"": {""s"": ""aba""}, ""expected_output"": 4}, {""input"": {""s"": ""aabbbaa""}, ""expected_output"": 10}, {""input"": {""s"": ""racecar""}, ""expected_output"": 7}]"
96,Serialize and Deserialize N-ary Tree to Sum Representation,"Given an N-ary tree, serialize it into a sum representation and deserialize the sum representation back into the original N-ary tree. The serialization format is as follows: For each node, store the sum of all its children's values, followed by the serialized representations of each child. If a node has no children, its sum is 0. The deserialization process reconstructs the tree based on this sum representation. Return 1 if the original tree and the deserialized tree are structurally identical and have the same values for all nodes, otherwise return 0. Assume node values are non-negative integers.",Hard,"[{""input"": {""root"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 3, ""children"": []}]}}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""children"": [{""val"": 2, ""children"": [{""val"": 4, ""children"": []}]}, {""val"": 3, ""children"": []}]}}, ""output"": 1}]","[""0 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [0, 10^4].""]","[{""input"": {""root"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 3, ""children"": []}]}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""children"": [{""val"": 2, ""children"": [{""val"": 4, ""children"": []}]}, {""val"": 3, ""children"": []}]}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 3, ""children"": []}]}, ""modified_root"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 4, ""children"": []}]}}, ""expected_output"": 0}, {""input"": {""root"": null}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 5, ""children"": []}}, ""expected_output"": 1}]"
97,Palindrome Check,"Given a string, return 1 if the string is a palindrome (reads the same forwards and backward), and 0 otherwise. Ignore spaces and case.",Easy,"[{""input"": {""s"": ""Race car""}, ""output"": 1}, {""input"": {""s"": ""A man, a plan, a canal: Panama""}, ""output"": 1}]","[""s consists of printable ASCII characters."", ""1 \u2264 s.length \u2264 10^5""]","[{""input"": {""s"": ""Race car""}, ""expected_output"": 1}, {""input"": {""s"": ""hello""}, ""expected_output"": 0}, {""input"": {""s"": ""A man, a plan, a canal: Panama""}, ""expected_output"": 1}, {""input"": {""s"": ""Was it a car or a cat I saw?""}, ""expected_output"": 1}, {""input"": {""s"": ""not a palindrome""}, ""expected_output"": 0}]"
98,Maximum Sum Subarray After K Concatenations,"Given an integer array nums and an integer k, you need to concatenate the array k times. For example, if nums = [1, 2] and k = 3, then the concatenated array will be [1, 2, 1, 2, 1, 2].

Return the maximum possible sum of a non-empty subarray of the concatenated array. Since the answer may be very large, return it modulo 10^9 + 7.

Note that the subarray must be non-empty.",Hard,"[{""input"": {""k"": 3, ""nums"": [1, 2]}, ""output"": 9}, {""input"": {""k"": 7, ""nums"": [-1, -2]}, ""output"": 0}]","[""1 <= k <= 10^5"", ""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^5""]","[{""input"": {""k"": 3, ""nums"": [1, 2]}, ""expected_output"": 9}, {""input"": {""k"": 7, ""nums"": [-1, -2]}, ""expected_output"": 0}, {""input"": {""k"": 5, ""nums"": [1, -2, 1]}, ""expected_output"": 2}, {""input"": {""k"": 10, ""nums"": [-10, 4, 3, -5]}, ""expected_output"": 77}, {""input"": {""k"": 2, ""nums"": [5, -3, 5]}, ""expected_output"": 14}]"
99,Same Tree Traversal,"Given the root nodes of two binary trees, root1 and root2, determine if their inorder traversals are identical. Return 1 if they are identical, otherwise return 0.",Medium,"[{""input"": {""root1"": [1, 2, 3], ""root2"": [1, 2, 3]}, ""output"": 1}, {""input"": {""root1"": [1, 2], ""root2"": [1, null, 2]}, ""output"": 0}]","[""-100 <= Node.val <= 100"", ""The number of nodes in both trees is in the range [0, 100].""]","[{""input"": {""root1"": [1, 2, 3], ""root2"": [1, 2, 3]}, ""expected_output"": 1}, {""input"": {""root1"": [1, 2], ""root2"": [1, null, 2]}, ""expected_output"": 0}, {""input"": {""root1"": [], ""root2"": []}, ""expected_output"": 1}, {""input"": {""root1"": [1, 2, null, 3], ""root2"": [1, 2, null, 3]}, ""expected_output"": 1}, {""input"": {""root1"": [1, 2, 1], ""root2"": [1, 1, 2]}, ""expected_output"": 0}]"
100,Find Target in Sorted Array,"Given a sorted array of integers `nums` and an integer `target`, determine if the target exists in the array. Return 1 if the target exists, and 0 otherwise. You must write an algorithm with O(log n) runtime complexity.",Easy,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""output"": 1}]","[""nums is sorted in ascending order."", ""All the integers in nums are unique."", ""-10^4 <= nums[i], target <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""expected_output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 2}, ""expected_output"": 0}, {""input"": {""nums"": [5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 1}, ""expected_output"": 0}]"
101,Array Rotation Check,"Given two arrays, arr1 and arr2, of the same length, determine if arr2 is a rotated version of arr1. Return 1 if arr2 is a rotated version of arr1, and 0 otherwise. A rotated version means that arr2 can be obtained by rotating arr1 by some number of positions.",Medium,"[{""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [3, 4, 5, 1, 2]}, ""output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [5, 1, 2, 3, 4]}, ""output"": 1}]","[""All elements in arr1 and arr2 are integers."", ""arr1.length == arr2.length"", ""1 <= arr1.length <= 10^4""]","[{""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [3, 4, 5, 1, 2]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [5, 1, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [2, 3, 4, 5, 6]}, ""expected_output"": 0}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [4, 1, 2, 3, 5]}, ""expected_output"": 0}]"
102,Cycle Detection in a Directed Graph,"Given a directed graph represented by an adjacency list, determine if the graph contains a cycle. Return 1 if a cycle exists, and 0 otherwise.",Medium,"[{""input"": {""n"": 4, ""adj"": [[1, 2], [2], [3], []]}, ""output"": 0}, {""input"": {""n"": 4, ""adj"": [[1, 2], [2], [0, 3], [3]]}, ""output"": 1}]","[""0 <= adj[i][j] < n"", ""0 <= adj[i].length <= n"", ""The graph is represented by an adjacency list, where adj[i] is a list of neighbors of node i."", ""1 <= n <= 10^4, where n is the number of nodes in the graph.""]","[{""input"": {""n"": 5, ""adj"": [[1], [2], [3], [4], []]}, ""expected_output"": 0}, {""input"": {""n"": 3, ""adj"": [[1, 2], [2], [0]]}, ""expected_output"": 1}, {""input"": {""n"": 6, ""adj"": [[1], [2], [3], [4], [5], [0]]}, ""expected_output"": 1}, {""input"": {""n"": 4, ""adj"": [[1], [2], [3], []]}, ""expected_output"": 0}, {""input"": {""n"": 7, ""adj"": [[1, 2], [2, 3], [3], [4], [5], [6], []]}, ""expected_output"": 0}]"
103,Coin Change Existence,"Given a set of coin denominations and a target amount, determine if it is possible to make exact change for the target amount using the given coins. You can use each coin denomination as many times as you want. Return 1 if it is possible, otherwise return 0.",Medium,"[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""output"": 1}, {""input"": {""coins"": [2], ""amount"": 3}, ""output"": 0}]","[""0 <= amount <= 10000"", ""1 <= coins[i] <= 1000"", ""1 <= coins.length <= 12""]","[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""expected_output"": 1}, {""input"": {""coins"": [2], ""amount"": 3}, ""expected_output"": 0}, {""input"": {""coins"": [1, 2, 5], ""amount"": 0}, ""expected_output"": 1}, {""input"": {""coins"": [2, 5], ""amount"": 7}, ""expected_output"": 1}, {""input"": {""coins"": [3, 7, 405, 436], ""amount"": 8839}, ""expected_output"": 1}]"
104,Minimum Window Substring with All Characters,"Given a string s and a string t, find the minimum window in s which will contain all the characters in t. If there is no such window in s that covers all characters in t, return an empty string. If there are multiple minimum-size windows, return the leftmost one. Return 1 if such a substring exists, otherwise return 0.",Hard,"[{""input"": {""s"": ""ADOBECODEBANC"", ""t"": ""ABC""}, ""output"": 1}, {""input"": {""s"": ""a"", ""t"": ""aa""}, ""output"": 0}]","[""s and t consist of uppercase and lowercase English letters."", ""1 <= s.length, t.length <= 10^5""]","[{""input"": {""s"": ""ADOBECODEBANC"", ""t"": ""ABC""}, ""expected_output"": 1}, {""input"": {""s"": ""a"", ""t"": ""aa""}, ""expected_output"": 0}, {""input"": {""s"": ""abcabcbb"", ""t"": ""abc""}, ""expected_output"": 1}, {""input"": {""s"": ""aaaaaaaaaaaabbbbbcdddddddddddddd"", ""t"": ""abcdd""}, ""expected_output"": 1}, {""input"": {""s"": ""abc"", ""t"": ""abcd""}, ""expected_output"": 0}]"
105,Array Partition,"Given an array of 2n integers, group these integers into n pairs of integer, say (a1, b1), (a2, b2), ..., (an, bn) which makes sum of min(ai, bi) for all i from 1 to n as large as possible. Return this largest possible sum.",Medium,"[{""input"": {""nums"": [1, 4, 3, 2]}, ""output"": 4}, {""input"": {""nums"": [6, 2, 6, 5, 1, 2]}, ""output"": 9}]","[""-10^4 <= nums[i] <= 10^4"", ""nums.length == 2 * n"", ""1 <= n <= 10^4""]","[{""input"": {""nums"": [1, 4, 3, 2]}, ""expected_output"": 4}, {""input"": {""nums"": [6, 2, 6, 5, 1, 2]}, ""expected_output"": 9}, {""input"": {""nums"": [1, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [10, 2, 5, 8]}, ""expected_output"": 13}, {""input"": {""nums"": [-1, 0, 1, 2]}, ""expected_output"": 0}]"
106,Lemonade Change,"At a lemonade stand, each lemonade costs $5. Customers are standing in a queue to buy from you, and order one at a time (in the order specified by bills). Each customer will only buy one lemonade and pay with either a $5, $10, or $20 bill. You must provide the correct change to each customer so that they can buy a lemonade. Initially, you have no money. Return 1 if you can provide change to every customer. Otherwise, return 0.",Easy,"[{""input"": {""bills"": [5, 5, 5, 10, 20]}, ""output"": 1}, {""input"": {""bills"": [5, 5, 10, 10, 20]}, ""output"": 0}]","[""bills[i] is 5, 10, or 20"", ""1 <= bills.length <= 10^5""]","[{""input"": {""bills"": [5, 5, 5, 10, 20]}, ""expected_output"": 1}, {""input"": {""bills"": [5, 5, 10, 10, 20]}, ""expected_output"": 0}, {""input"": {""bills"": [5, 5, 5, 10, 5, 5, 5, 20, 20, 5]}, ""expected_output"": 0}, {""input"": {""bills"": [5, 5, 5, 5, 20]}, ""expected_output"": 1}, {""input"": {""bills"": [10, 10]}, ""expected_output"": 0}]"
107,Maximum Profit with K Transactions,"You are given an array of integers prices where prices[i] is the price of a given stock on the i-th day. You are also given an integer k, representing the maximum number of transactions you can make (i.e., buy and sell a stock k times). Find the maximum profit you can achieve.",Hard,"[{""input"": {""k"": 2, ""prices"": [2, 4, 1, 7, 5]}, ""output"": 6}, {""input"": {""k"": 2, ""prices"": [3, 2, 6, 5, 0, 3]}, ""output"": 7}]","[""0 <= k <= 100"", ""0 <= prices[i] <= 1000"", ""1 <= prices.length <= 1000""]","[{""input"": {""k"": 2, ""prices"": [2, 4, 1, 7, 5]}, ""expected_output"": 6}, {""input"": {""k"": 2, ""prices"": [3, 2, 6, 5, 0, 3]}, ""expected_output"": 7}, {""input"": {""k"": 3, ""prices"": [1, 2, 3, 4, 5]}, ""expected_output"": 4}, {""input"": {""k"": 2, ""prices"": [7, 6, 4, 3, 1]}, ""expected_output"": 0}, {""input"": {""k"": 3, ""prices"": [1, 2, 4, 2, 5, 7, 2, 4, 9, 0]}, ""expected_output"": 11}]"
108,Cycle Detection in Undirected Graph,"Given an undirected graph represented by an adjacency list, determine if the graph contains a cycle. Return 1 if a cycle exists, and 0 otherwise.",Medium,"[{""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [2, 0], [0, 3], [3, 4]]}, ""output"": 1}, {""input"": {""n"": 4, ""edges"": [[0, 1], [1, 2], [2, 3]]}, ""output"": 0}]","[""0 \u2264 node values \u2264 n - 1"", ""0 \u2264 number of edges \u2264 n * (n - 1) / 2"", ""1 \u2264 n \u2264 10^4 (number of nodes)""]","[{""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [2, 0], [0, 3], [3, 4]]}, ""expected_output"": 1}, {""input"": {""n"": 4, ""edges"": [[0, 1], [1, 2], [2, 3]]}, ""expected_output"": 0}, {""input"": {""n"": 3, ""edges"": [[0, 1], [1, 2], [0, 2]]}, ""expected_output"": 1}, {""input"": {""n"": 6, ""edges"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]}, ""expected_output"": 0}, {""input"": {""n"": 7, ""edges"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 0]]}, ""expected_output"": 1}]"
